sessionId,sessionName,object,time,x,y,z,rotx,roty,rotz
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119899.7518117,0.1555715,1.684245,0.2477967,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119900.87412,0.2815926,1.694665,0.1958387,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119901.997261,0.1281631,1.664726,0.1894403,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119903.1191282,0.166599,1.691083,0.1213223,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119904.2409494,0.1667657,1.677937,0.1252633,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119905.3638413,0.2229064,1.642591,0.1490374,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119906.4860206,0.1495457,1.67539,0.1556116,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119907.608395,0.1812136,1.665646,0.154662,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119908.7304888,0.1766753,1.665829,0.164599,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119909.8531358,0.1368117,1.67738,0.1711988,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119910.9750037,0.1289275,1.677853,0.1642571,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119912.0972378,0.2514601,1.625115,0.1541871,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119913.2189326,0.2505121,1.651309,0.1467447,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119914.3416076,0.1797643,1.676524,0.168407,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119915.4641824,0.1688263,1.671104,0.1750687,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119916.585164,0.167403,1.675925,0.1746274,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119917.7082589,0.1527877,1.675921,0.1665651,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119918.830392,0.1552162,1.676619,0.1711121,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119919.952495,0.166225,1.665967,0.1427503,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119921.0743265,0.1613975,1.66924,0.1427907,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119922.1959252,0.0853641,1.686319,0.08317661,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119923.3194942,0.1785922,1.555806,0.2040884,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119924.4402516,0.1835458,1.625494,0.1369449,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119925.5636187,0.1603258,1.662083,0.1418324,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119926.686731,0.1764736,1.57174,0.2047352,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119927.808483,0.1749344,1.522975,0.2542643,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119928.9306197,0.1351852,1.661381,0.1511987,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119930.0522652,0.1495204,1.50683,0.3034538,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119931.1747139,0.164711,1.504079,0.2819439,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119932.2965102,0.1529133,1.679861,0.1786042,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119933.4195037,0.1628761,1.682382,0.1670278,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119934.541201,0.1726353,1.676028,0.1701704,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119935.663813,0.1658721,1.544772,0.2277609,0,0,0
75b9f11f8b364c20908b76d713cb8493,unset,head,1734119936.7862902,0.1755846,1.582045,0.2054044,0,0,0
